Aarón Domínguez López;1;Aarón Domínguez López;;
Aarón Domínguez López;1;Aurora Medina Sansores;;
Aarón Domínguez López;1;Consuelo Salas Labadía;;
Aarón Domínguez López;1;Oreth Montero Ruíz;;
Aarón Domínguez López;1;Roberto Mario Rivera Luna;;
Aarón Domínguez López;1;Rocío Coronel Morán;;
Aarón Domínguez López;1;Sara Frías Vázquez;;
Aarón Salinas Rodríguez;2;Aarón Salinas Rodríguez;;
Aarón Salinas Rodríguez;1;Ana Luisa Sosa Ortiz;;
Aarón Salinas Rodríguez;2;Betty Soledad Manrique Espinoza;;
Aarón Salinas Rodríguez;1;Ileana Beatríz Heredia Pi;;
Aarón Salinas Rodríguez;2;Jose Alberto Avila Funes;;
Aarón Salinas Rodríguez;2;Luis Miguel Gutiérrez Robledo;;
Aarón Salinas Rodríguez;1;Martha Maria Tellez Rojo Solis;;
Aarón Salinas Rodríguez;1;Ricardo Pérez Nuñez;;
Aarón Salinas Rodríguez;1;Sandra Gabriela Sosa Rubi;;
Aarón Silva Sánchez;1;Aarón Silva Sánchez;;
Aarón Silva Sánchez;1;Armando Isibasi Araujo;;
Aarón Silva Sánchez;1;Cristina Del Carmen Gil Cruz;;
Aarón Silva Sánchez;1;Eduardo Ferat Osorio;;
Aarón Silva Sánchez;1;Elizabeth Acosta Ramírez;;
Aarón Silva Sánchez;1;María Guadalupe Miranda Novales;;
Aarón Silva Sánchez;1;Maricela Ramírez Saldana;;
Aarón Silva Sánchez;1;Nora Isela Ríos Sarabia;;
Aarón Silva Sánchez;1;Rodolfo Pastelin Palacios;;
Aarón Silva Sánchez;1;Yahaira Alejandra Del Carmen Meléndez Vera;;
Abelardo Meneses García;1;Abelardo Meneses García;;
Abelardo Meneses García;1;Alejandro Zentella Dehesa;;
Abelardo Meneses García;1;Alette Ortega Gomez;;
Abelardo Meneses García;1;Claudia Haydee Sarai Caro Sánchez;;
Abelardo Meneses García;1;Claudia Rangel Escareño;;
Abelardo Meneses García;1;Cynthia Mayte Villarreal Garza;;
Abelardo Meneses García;1;Daniel Ortega Bernal;;
Abelardo Meneses García;1;Eucario Leon Rodriguez;;
Abelardo Meneses García;1;Hector Aquiles Maldonado Martinez;;
Abelardo Meneses García;1;José Antonio Acevedo Delgado;;
Abelardo Meneses García;1;Luz Maria Godoy Rivera;;
Abelardo Meneses García;1;Oscar Gerardo Arrieta Rodríguez;;
Abelardo Meneses García;1;Yanin Chavarri Guerra;;
Abel Arturo Arredondo Zamudio;1;Abel Arturo Arredondo Zamudio;;
Abel Arturo Arredondo Zamudio;1;Daniela Jourdain Orvañanos;;
Abel Arturo Arredondo Zamudio;1;Graciela Fregoso Narváez;;
Abel Gutiérrez Ortega;3;Abel Gutiérrez Ortega;;
Abel Gutiérrez Ortega;1;Ángel Hilario Álvarez Herrera;;
Abel Gutiérrez Ortega;1;Darwin Eduardo Elizondo Quiroga;;
Abel Gutiérrez Ortega;1;Diana Elodia Aguilar Leon;;
Abel Gutiérrez Ortega;1;Enrique Jaime Herrera López;;
Abel Gutiérrez Ortega;1;Erika Nahomy Marino Marmolejo;;
Abel Gutiérrez Ortega;1;Esteban González Díaz;;
Abel Gutiérrez Ortega;1;Mario Alberto Flores Valdéz;;
Abel Gutiérrez Ortega;1;Moisés Martínez Velázquez;;
Abel Gutiérrez Ortega;1;Rodolfo Hernández Gutiérrez;;
Abel Gutiérrez Ortega;1;Rogelio Enrique Hernández Pando;;
Abel Gutiérrez Ortega;1;Vilma Araceli Maldonado Lagunas;;
Abel Lerma Talamantes;1;Abel Lerma Talamantes;;
Abel Lerma Talamantes;1;Adrián Daneri Navarro;;
Abel Lerma Talamantes;1;Alfredo Rizo Méndez;;
Abel Lerma Talamantes;1;Benjamín Becerra Rodríguez;;
Abel Lerma Talamantes;1;Esther Cisneros Quirarte;;
Abel Lerma Talamantes;1;Francisco Páez Agraz;;
Abel Lerma Talamantes;1;Gerardo Larios Aceves;;
Abel Lerma Talamantes;1;María Elena Teresa Medina-Mora Icaza;;
Abel Lerma Talamantes;1;Rebeca Robles García;;
Abel Lerma Talamantes;1;Sergio Quintero Hernández;;
Abel Lerma Talamantes;1;Shoshana Berenzon Gorn;;
Abhay Satoskar;1;Abhay Satoskar;;
Abhay Satoskar;1;Claudio Manuel Lezama Dávila;;
Abhay Satoskar;1;Ricardo Isaac Marquez;;
